"","Nvec","Sens.Binomial","Sens.Trinomial","Sens.Binomial.Put","Sens.Trinomial.Put"
"1",5,6.3006278430121,5.67348066996692,6.27093968056598,5.64415353639347
"2",10,5.84799223058332,5.84008816547988,5.81986304888967,5.810232900236
"3",15,6.09480408639873,5.8923275805486,6.0650449815196,5.86220836347393
"4",20,5.9202470484705,5.91800807970788,5.89110708173451,5.88774339054482
"5",25,6.05414077605692,5.93329170219756,6.02411649093462,5.90293780836138
"6",30,5.94458034860858,5.94343164491436,5.91498253115991,5.91301739403967
"7",35,6.03678213003388,5.95065117802879,6.00659892170248,5.92019235209402
"8",40,5.95679022983176,5.95605337514286,5.92693806403603,5.9255601128604
"9",45,6.02715738871359,5.9602478220114,5.99687299236755,5.92972736863918
"10",50,5.96412954606178,5.96359885960688,5.9341180830267,5.93305703581223
"11",55,6.02103981889599,5.9663376575521,5.9906867943714,5.93577788877264
"12",60,5.96902789676155,5.96861796963687,5.93890628063181,5.93804317800405
"13",65,6.01680794839506,5.97054603949701,5.98640427909563,5.93995888765248
"14",70,5.97252936616003,5.9721976366261,5.94232641029233,5.94160066915016
"15",75,6.01370635008269,5.97362825207542,5.98326337337333,5.94302264990409
"16",80,5.97515690324141,5.97487945729569,5.94489121533432,5.94426614839998
"17",85,6.01133556070263,5.97598301131215,5.98086108771139,5.94536275261541
"18",90,5.97720138794549,5.97696359462963,5.94688615935921,5.94633718204274
"19",95,6.00946451396142,5.97784067730064,5.97896600595938,5.94720863372499
"20",100,5.97883750515627,5.97862982504266,5.94848412881204,5.94799289169516
